Log for:/Users/brloureiro/dev-projects/webpage_new/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=# Syncrun started 2022-12-21T06:23:14Z
#=#=#=# Syncrun finished 2022-12-21T06:23:14Z (last step: 16 msec , total: 16 msec) 
#=#=#=# Syncrun started 2022-12-21T08:57:33Z
#=#=#=# Syncrun finished 2022-12-21T08:57:33Z (last step: 12 msec , total: 12 msec) 
#=#=#=# Syncrun started 2022-12-22T00:40:42Z
#=#=#=# Syncrun finished 2022-12-22T00:40:42Z (last step: 5 msec , total: 5 msec) 
#=#=#=# Syncrun started 2022-12-22T20:48:43Z
#=#=#=#=# Propagation starts 2022-12-22T20:48:45Z (last step: 1975 msec , total: 1975 msec) 
2022-12-22T20:49:11Z | _news/neurips2021.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 4f42cb0c9df30d1dccf8d141d322bd92 | 565 | 2866002494ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | d614222a-5ddc-4ad3-8dcd-99789453fe61 | 
2022-12-22T20:49:10Z | _news/neurips2019.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 85e0242a2a17fd03decef18a54137c80 | 231 | 2866002466ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 014921e6-4e47-4b42-ae90-9e31f0488fda | 
2022-12-22T20:49:12Z | _news/neurips_workshop2019.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 0f9f290f7b4e1a6a9c0cb6ae50eeba4f | 361 | 2866002510ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | b7d817bb-1f8d-4b2a-8c2a-ff9e4957f9bb | 
2022-12-22T20:49:12Z | _news/phase_retrieval_arxiv.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 771f7677247b08b72001271eec2354b5 | 253 | 2866002542ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 402d67d2-77f7-45f3-8e5c-6ca948ccf452 | 
2022-12-22T20:49:13Z | _news/phase_retrieval_complex.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 232d15c727d1c4745e2f2e2554c1bdee | 219 | 2866002562ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 4b1eda3b-f6aa-4793-8b03-aa36bed78560 | 
2022-12-22T20:49:13Z | _news/phase_retrieval_neurips.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | fbf351b5fa5e1ad8aa6c81ae47665514 | 289 | 2866002578ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | baa4d785-7d41-48ee-9584-af01b06e8a1d | 
2022-12-22T20:49:14Z | _pages/bio.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1665505181 | d0712ffe25fef4fc6f1c514c22d3689a | 1572 | 2866002610ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | fce6dd52-cc44-4632-93cc-097f43206d69 | 
2022-12-22T20:49:14Z | _news/prior_paper.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 99e60997d93de3ca9206f381a43ca096 | 198 | 2866002590ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | bb585a48-5654-4f0f-8670-2819ee8b72ed | 
2022-12-22T20:48:46Z | _news | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1665496721 |  | 800 | 2866001698ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | bcd69146-a95a-40df-94e8-ab56852b1e32 | 
2022-12-22T20:49:15Z | _pages/jobs.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1665505106 | 87ea429b90227b378b61667d3c5bbdc6 | 474 | 2866002642ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 56a60bb9-d021-4db7-bf49-9766c10f6a2a | 
